WKT	type	lat	lon	osm_id	osm_way_id	amenity	name	name:fr	name:en	health_facility:type	healthcare	id:uuid	is_in:health_area	 is_in:health_zone	building:levels	building:material	building:condition	addr:housenumber	 addr:street	 addr:city	source	source:data	source:date	source:name	source_ref	survey:date	 note	 attribution	other_tags
"MULTIPOLYGON (((28.0685782 -1.420658,28.0685868 -1.4205704,28.068397 -1.4205519,28.0683885 -1.4206395,28.0685782 -1.420658)))"	multipolygons	-1.42060495	28.0684876302797		"147636996"	hospital	Centre de Santé 8e CEPAC														"ICRC, DigitalGlobe 110711"								"""building""=>""yes"""
"MULTIPOLYGON (((28.078756 -1.4292969,28.0786706 -1.4291873,28.078746 -1.4291286,28.0788314 -1.4292382,28.078756 -1.4292969)))"	multipolygons	-1.42921275	28.078751		"148109218"	hospital	Centre de Santé Moria														"ICRC, DigitalGlobe 110711"								"""building""=>""yes"""
"MULTIPOLYGON (((28.0734501 -1.4266586,28.0734755 -1.4267643,28.0735509 -1.4267462,28.0735255 -1.4266405,28.0734501 -1.4266586)))"	multipolygons	-1.4267024	28.0735005		"150101836"	hospital	Dispensaire Mukisa														"ICRC, DigitalGlobe 110711"								"""building""=>""yes"""
"MULTIPOLYGON (((15.4084326 -4.4087385,15.4087478 -4.4091396,15.4087632 -4.4091592,15.4083063 -4.4094538,15.4072936 -4.4074412,15.4069119 -4.4065302,15.4063306 -4.4053462,15.406259 -4.4052028,15.4061839 -4.405056,15.4073009 -4.4050667,15.4073715 -4.4051161,15.407507 -4.4052779,15.4079599 -4.4058859,15.4089163 -4.4072231,15.4089682 -4.4072938,15.4094584 -4.4079552,15.4084326 -4.4087385)))"	multipolygons	-4.40725845	15.4080796397777		"157855730"	hospital	Centre de Santé Ma Sœur																						
"MULTIPOLYGON (((26.7399929 -10.9923711,26.7399714 -10.9914232,26.7413233 -10.9912547,26.7417604 -10.9921789,26.7412776 -10.9923922,26.7406581 -10.9924132,26.7399929 -10.9923711)))"	multipolygons	-10.99180105	26.7407808331444		"168101436"	hospital	Railroad Hospital																						
"MULTIPOLYGON (((26.729543 -11.0170255,26.7301975 -11.0161935,26.7306041 -11.0162214,26.7329762 -11.017731,26.7326426 -11.0183908,26.7316888 -11.0186683,26.7312704 -11.0193107,26.7301857 -11.0187699,26.7307768 -11.0179101,26.729543 -11.0170255)))"	multipolygons	-11.01782055	26.7317914112712		"168105554"	hospital																							
"MULTIPOLYGON (((26.7304572 -10.9797188,26.7304672 -10.9775937,26.7319338 -10.9776283,26.7323007 -10.9784999,26.7323159 -10.978936,26.7323437 -10.9797322,26.7304572 -10.9797188)))"	multipolygons	-10.97871795	26.7313851048304		"168131374"	hospital	Hopital Général Daco																						
"MULTIPOLYGON (((29.2180706 -1.6678942,29.2182255 -1.6691801,29.2193021 -1.6690454,29.2191076 -1.6677768,29.2180706 -1.6678942)))"	multipolygons	-1.6684698	29.2186768933982		"193247336"	hospital	Hôpital Militaire Régional			hospital	hospital	urn:dsnis_hc_pnt_id:6112010063									MSF		"2018"			2018/12/29			"""barrier""=>""wall"",""is_in:health_admin=6""=>""KARISIMBI"",""is_in:health_admin=8""=>""KATOYI"""
"MULTIPOLYGON (((29.2235476 -1.6785681,29.2234102 -1.6794419,29.2244703 -1.6795901,29.2253871 -1.6797071,29.2254962 -1.6789623,29.2255428 -1.6786491,29.224889 -1.6785488,29.22467 -1.6785151,29.2245282 -1.6784942,29.2242168 -1.6784481,29.2241337 -1.6784306,29.2240565 -1.6784845,29.2239049 -1.6784729,29.2235476 -1.6785681)))"	multipolygons	-1.6792021	29.224454490357		"193634276"	hospital	Hôpital Général de Référence du Nord Kivu			hospital	hospital	urn:dsnis_hc_pnt_id:6111010014	Heal Africa								UE-CIG		"2018"			2019/02/04			"""barrier""=>""wall"",""is_in:health_admin=6""=>""GOMA"",""is_in:health_admin=8""=>""HEAL AFRICA"",""is_in:health_zone""=>""Goma"""
"MULTIPOLYGON (((29.2386713 -1.6890263,29.2386822 -1.6889452,29.2392006 -1.6890151,29.2391896 -1.6890963,29.2386713 -1.6890263)))"	multipolygons	-1.6890207	29.2389359470152		"195725935"	hospital	Level III MONUSCO Hospital														Bing								"""building""=>""yes"""
"MULTIPOLYGON (((29.2354359 -1.6887403,29.235338 -1.6883778,29.2358758 -1.6884475,29.235869 -1.6886486,29.2359226 -1.6888303,29.2359662 -1.6889923,29.2361327 -1.6892845,29.2356721 -1.6896861,29.2354053 -1.6893774,29.2354129 -1.6893697,29.2350996 -1.6890015,29.2354359 -1.6887403)))"	multipolygons	-1.689143	29.2356360364848		"195742803"	hospital	Hôpital Heal Africa			hospital	hospital	urn:dsnis_hc_pnt_id:6111010010	Heal Africa								UE-CIG		2019-01			2019/02/04			"""description""=>""197 beds"",""emergency""=>""yes"",""is_in:health_admin=6""=>""GOMA"",""is_in:health_admin=8""=>""HEAL AFRICA"",""is_in:health_zone""=>""Goma"",""name_en""=>""Heal Africa Hospital"",""operator""=>""Heal Africa"",""website""=>""https://www.healafrica.org/"""
"MULTIPOLYGON (((29.1888259 -5.9192397,29.188733 -5.9193296,29.1887382 -5.919458,29.1889628 -5.9198972,29.1892081 -5.9200384,29.1894508 -5.920303,29.1897684 -5.9207704,29.1895024 -5.9209656,29.1896599 -5.9214972,29.1903235 -5.9222137,29.1905125 -5.9222145,29.1907261 -5.9221128,29.1908959 -5.9219657,29.1909543 -5.9219003,29.191013 -5.9217353,29.1909277 -5.9214484,29.1893552 -5.919006,29.1888259 -5.9192397)))"	multipolygons	-5.9205367	29.1899751583013		"195876864"	hospital	Hopital Général de Référence														"survey;Army Topo Map"		2018-09-17						"""beds""=>""290"",""building:status""=>""bad"",""health_services:description""=>""attention no specialist for those services Pediatrie, gyneco obstetrique medecine interne, chirurgie, imagerie medicale, labo"",""heliport""=>""no"",""is_in:health_level6""=>""Kalemie"",""man_made""=>""water_tap"",""operator:type""=>""government"",""owner""=>""Etat"",""population""=>""361343"",""population:date""=>""2018"",""power_supply""=>""yes"",""power_supply:operator""=>""SNEL"",""shower""=>""16"",""shower:status""=>""medium"",""staff_count:chemist""=>""2"",""staff_count:doctors""=>""18"",""staff_count:nurses""=>""72"",""toilets""=>""16"",""toilets:status""=>""medium"",""water_source""=>""main"",""water_tap:operator""=>""Regideso"",""wheelchair""=>""no"""
"MULTIPOLYGON (((29.1904731 -5.9151632,29.1905299 -5.9151444,29.1905562 -5.9152228,29.1904994 -5.9152416,29.1904731 -5.9151632)))"	multipolygons	-5.915193	29.19051465		"195963734"	hospital	Dispensaire Baraka														Bing								"""building""=>""yes"""
"MULTIPOLYGON (((29.1858621 -5.9125708,29.1859057 -5.9125983,29.1858667 -5.9126597,29.1858231 -5.9126322,29.1858621 -5.9125708)))"	multipolygons	-5.91261525	29.1858644		"195975057"	clinic	Dispensaire Bethsaida														survey								
"MULTIPOLYGON (((25.1933214 0.5125986,25.1933943 0.5124725,25.1933096 0.5124235,25.1932813 0.5124724,25.1932916 0.5124783,25.1932797 0.5124989,25.19325 0.5124817,25.1932172 0.5125383,25.1933214 0.5125986)))"	multipolygons	0.5125186	25.1932981326316		"196168016"	hospital	Du Canon														Bing								"""building""=>""yes"""
"MULTIPOLYGON (((25.1992079 0.5102137,25.1991537 0.5099292,25.1990495 0.5098823,25.1988306 0.5099667,25.1988644 0.5100544,25.1990447 0.5099849,25.1990609 0.5099922,25.1991012 0.5102037,25.1990579 0.5102639,25.1991229 0.5103108,25.1991329 0.5103179,25.1992079 0.5102137)))"	multipolygons	0.51012905	25.1991393746335		"196168023"	hospital	Rheoboth														Bing								"""building""=>""yes"",""emergency""=>""yes"""
"MULTIPOLYGON (((25.1991643 0.5092767,25.1990445 0.5092793,25.1990493 0.5094964,25.199039 0.5095098,25.198846 0.509511,25.1988466 0.5096178,25.1988583 0.5096177,25.1988592 0.5097468,25.1990773 0.5096658,25.1991702 0.5095449,25.1991643 0.5092767)))"	multipolygons	0.50952795	25.199007961175		"196168024"	pharmacy	Shekina														Bing								"""building""=>""yes"""
"MULTIPOLYGON (((25.1910223 0.5090016,25.1911118 0.5092179,25.1911398 0.5092295,25.1913259 0.5091526,25.191306 0.5091045,25.1911546 0.5091671,25.1910769 0.508979,25.1910223 0.5090016)))"	multipolygons	0.50905305	25.191075538636		"196168112"	pharmacy															Bing								"""building""=>""yes"",""source:amenity""=>""Army Topo Map"""
"MULTIPOLYGON (((29.1929723 -5.9303104,29.1928735 -5.9303308,29.1928177 -5.9300639,29.1929165 -5.9300434,29.1929723 -5.9303104)))"	multipolygons	-5.93018715	29.1928950048254		"196829736"	clinic	Complexe Médical Saint Raphael																						"""building""=>""yes"""
"MULTIPOLYGON (((29.1377785 -3.3916002,29.1384384 -3.3919287,29.1388454 -3.3919215,29.1388465 -3.3920684,29.1395782 -3.3920401,29.1396572 -3.3902645,29.138972 -3.3899566,29.1385953 -3.3902618,29.1377785 -3.3916002)))"	multipolygons	-3.39093235	29.1389067810684		"196925276"	hospital	Hôpital Général de Référence d'Uvira																						
"MULTIPOLYGON (((29.2171358 -5.9041742,29.2170449 -5.9040693,29.2172775 -5.9038696,29.2173685 -5.9039744,29.2171358 -5.9041742)))"	multipolygons	-5.90402185	29.2172067019563		"200674304"	clinic	Cliniques Universitaires de Kalemie																						"""building""=>""yes"""
"MULTIPOLYGON (((29.2102594 -5.8937516,29.2102348 -5.8936611,29.2104897 -5.8935925,29.2105144 -5.8936829,29.2102594 -5.8937516)))"	multipolygons	-5.893672	29.2103745923325		"200751151"	hospital	Centre de Santé Lubuye																						"""building""=>""yes"""
"MULTIPOLYGON (((29.2004867 -5.9041402,29.2003822 -5.9040846,29.2004749 -5.903912,29.2005794 -5.9039676,29.2004867 -5.9041402)))"	multipolygons	-5.9040261	29.2004808		"200758485"	hospital	Centre de Santé Kituku																						"""building""=>""yes"""
"MULTIPOLYGON (((15.2853766 -4.4250057,15.2854771 -4.4248004,15.285863 -4.4249884,15.2855905 -4.4255445,15.2852119 -4.4253601,15.2853077 -4.4251646,15.2854979 -4.4252572,15.2855741 -4.4251019,15.2853766 -4.4250057)))"	multipolygons	-4.4252109	15.2856372941532		"211001594"	hospital	Centre Hospitalier Mère et Enfant Monkole																						"""addr:street""=>""Avenue Mbanza-Boma"",""website""=>""http://www.monkole.cd"""
"MULTIPOLYGON (((15.2857559 -4.4253592,15.2858052 -4.4252583,15.2860328 -4.425369,15.2859014 -4.4256374,15.285665 -4.4255224,15.2857194 -4.4254112,15.2858239 -4.425462,15.2858515 -4.4254056,15.2857559 -4.4253592)))"	multipolygons	-4.4254366	15.2859180175017		"211001794"	hospital	Centre Hospitalier Monkole																						"""emergency""=>""yes"""
"MULTIPOLYGON (((15.2855425 -4.4238232,15.2857061 -4.4239011,15.2856447 -4.4240291,15.2854812 -4.4239512,15.2855425 -4.4238232)))"	multipolygons	-4.42392615	15.2855936402148		"211015410"	hospital	Hôpital Monkole 3																						
"MULTIPOLYGON (((15.2863866 -4.4252244,15.2864212 -4.4252566,15.2864214 -4.4253073,15.2863866 -4.4253287,15.2863571 -4.4253688,15.2862873 -4.425326,15.2863058 -4.4252834,15.2863273 -4.4252994,15.2863195 -4.4252565,15.2863463 -4.4252137,15.2863544 -4.4251656,15.2864051 -4.4250801,15.2866063 -4.4251951,15.2864992 -4.4254089,15.2864429 -4.4253768,15.2865124 -4.4252406,15.2864078 -4.4251817,15.2863866 -4.4252244)))"	multipolygons	-4.42524855	15.2863685140187		"211015682"	hospital	Centre chirurgical Monkole 2																						
"MULTIPOLYGON (((29.1925241 -5.963587,29.1925275 -5.9634952,29.192646 -5.9634996,29.1926425 -5.9635914,29.1925241 -5.963587)))"	multipolygons	-5.9635433	29.1925850261983		"229528126"	hospital	Centre de Santé Kataki														survey								"""building""=>""yes"""
"MULTIPOLYGON (((29.1948991 -5.948655,29.1948124 -5.94863,29.1948093 -5.9486409,29.1947693 -5.9486291,29.1947849 -5.9485657,29.1948349 -5.948576,29.1948346 -5.9485862,29.1949166 -5.9486077,29.1949202 -5.9485978,29.194922 -5.9484336,29.1949008 -5.9484336,29.1949008 -5.9483396,29.19505 -5.9483431,29.1950518 -5.9484344,29.1950341 -5.9484336,29.1950332 -5.9486101,29.1950606 -5.9486215,29.1950403 -5.9487041,29.1950244 -5.948698,29.1949343 -5.9489079,29.1949485 -5.9489158,29.1949123 -5.9489913,29.1948964 -5.9489861,29.194793 -5.9491969,29.194808 -5.9492109,29.1947418 -5.9492777,29.1947171 -5.9492513,29.1945343 -5.9493128,29.1945387 -5.949326,29.1944636 -5.9493497,29.1944195 -5.9492127,29.1944875 -5.9491863,29.1944945 -5.9492039,29.1946402 -5.9491503,29.194597 -5.9490985,29.194619 -5.9490748,29.19468 -5.9491169,29.1947384 -5.9489942,29.194582 -5.9489184,29.1946747 -5.9487309,29.1948304 -5.9488008,29.1948972 -5.9486602,29.1948991 -5.948655)))"	multipolygons	-5.94885435	29.194785476383		"230276276"	hospital	Clinique d'Etat														survey								"""building""=>""yes"""
"MULTIPOLYGON (((29.1927379 -5.9607874,29.1927557 -5.9607425,29.1928664 -5.9607858,29.1928487 -5.9608307,29.1927379 -5.9607874)))"	multipolygons	-5.9607866	29.1928021508909		"235088728"	pharmacy	Pharmacie Bethsaida														"bing,survey"								"""building""=>""yes"""
"MULTIPOLYGON (((29.1887159 -5.9107094,29.1887655 -5.9106293,29.1888318 -5.9106699,29.1887823 -5.91075,29.1887159 -5.9107094)))"	multipolygons	-5.91068965	29.1887738623283		"237918972"	hospital	Dispensaire Mapendo														"bing,survey"								"""building""=>""yes"""
"MULTIPOLYGON (((29.1935006 -5.9109836,29.1938486 -5.9111032,29.1936827 -5.9116332,29.1933192 -5.9115178,29.1935006 -5.9109836)))"	multipolygons	-5.9113105	29.1935866523559		"238751184"	hospital	Centre de Santé Undugu														survey								
"MULTIPOLYGON (((29.1888153 -5.9059242,29.1887099 -5.905926,29.1887121 -5.9060521,29.1888175 -5.9060504,29.1888153 -5.9059242)))"	multipolygons	-5.9059882	29.1887637004299		"239258602"	clinic	Maison médicale La bénédiction														Bing								"""building""=>""yes"""
"MULTIPOLYGON (((29.1942829 -5.9289429,29.1944552 -5.9297865,29.1944707 -5.9301144,29.1944325 -5.9302463,29.1937599 -5.9304126,29.1936923 -5.9301533,29.1936239 -5.9298338,29.193639 -5.9297571,29.1936048 -5.9295969,29.1936123 -5.9295271,29.1935449 -5.9292118,29.1936797 -5.9290671,29.1940526 -5.9289882,29.1942829 -5.9289429)))"	multipolygons	-5.929677	29.1940273676565		"239356057"	hospital	Hopital de la SNCC														survey		2018-09-17						"""beds""=>""60"",""building:status""=>""medium"",""communication:description""=>""tel"",""contact:phone""=>""81581643"",""health_services:description""=>""attention no specialist for those services Cc, pediatrie, gyneco obstetrique, med interne, chirurgie, kine, cpn,cps, cpon, pharmacie, labo"",""heliport""=>""yes"",""is_in:health_level6""=>""Kalemie"",""is_in:health_level8""=>""Martin Ville"",""man_made""=>""water_tap"",""operator:type""=>""government"",""owner""=>""Societe National de Chemin de fer du Congo"",""power_supply""=>""yes"",""power_supply:operator""=>""SNEL"",""shower""=>""25"",""shower:status""=>""good"",""staff_count:chemist""=>""2"",""staff_count:doctors""=>""2"",""staff_count:nurses""=>""29"",""toilets""=>""25"",""toilets:status""=>""good"",""water_source""=>""main"",""water_tap:operator""=>""Regideso"",""wheelchair""=>""yes"""
"MULTIPOLYGON (((29.1756723 -5.9401298,29.1757963 -5.9401487,29.1757842 -5.9402274,29.1757391 -5.9402205,29.1757428 -5.9401962,29.175664 -5.9401842,29.1756723 -5.9401298)))"	multipolygons	-5.94016645	29.1757301395729		"239363455"	hospital	Dispensaire Peke Siwezi																						"""building""=>""yes"""
"MULTIPOLYGON (((29.1821966 -5.9361917,29.1821719 -5.9361166,29.182259 -5.9360883,29.1822837 -5.9361634,29.1821966 -5.9361917)))"	multipolygons	-5.93614	29.1822278		"239363456"	hospital	Dispensaire Uzima																						"""building""=>""yes"""
"MULTIPOLYGON (((29.1765588 -5.9412512,29.1765518 -5.9411515,29.1766096 -5.9411475,29.1766105 -5.9411603,29.1766676 -5.9411564,29.1766701 -5.9411927,29.1767012 -5.9411905,29.1767032 -5.941219,29.1766721 -5.9412211,29.1766737 -5.9412432,29.1765588 -5.9412512)))"	multipolygons	-5.94120585	29.1766289465704		"239363457"	pharmacy	Pharmacie Bwaka Phar																						"""building""=>""yes"",""dispensing""=>""yes"""
"MULTIPOLYGON (((29.2273118 -5.8952152,29.2273969 -5.8951368,29.2274752 -5.8952209,29.2273901 -5.8952993,29.2273118 -5.8952152)))"	multipolygons	-5.89521805	29.2273935		"239732851"	clinic	Centre médical La préférence Nuru																						"""building""=>""yes"""
"MULTIPOLYGON (((29.2228804 -5.8873612,29.2229352 -5.8873929,29.2228909 -5.8874687,29.2228361 -5.8874369,29.2228804 -5.8873612)))"	multipolygons	-5.8874149	29.2228856584924		"239757426"	clinic	Centre Médical Rabbi																						"""building""=>""yes"""
"MULTIPOLYGON (((29.1958636 -5.9429167,29.1959957 -5.9428578,29.1961025 -5.9430943,29.1959704 -5.9431533,29.1958636 -5.9429167)))"	multipolygons	-5.9430055	29.1959830415256		"239776374"	clinic	Clinique Médicale Deka														Bing			survey					"""building""=>""yes"""
"MULTIPOLYGON (((29.1972367 -5.9003835,29.1972762 -5.9003191,29.1973741 -5.9003785,29.1973346 -5.9004429,29.1972367 -5.9003835)))"	multipolygons	-5.900381	29.1973054		"239964835"	hospital	Dispensaire Mbaraka																						"""building""=>""yes"""
"MULTIPOLYGON (((29.1958521 -5.952579,29.1957954 -5.9525707,29.1958001 -5.9525388,29.1958568 -5.9525471,29.1958521 -5.952579)))"	multipolygons	-5.9525589	29.1958261		"239971607"	pharmacy																							"""building""=>""yes"""
"MULTIPOLYGON (((29.2165949 -1.6780502,29.2168852 -1.6781331,29.2168408 -1.6782884,29.2166205 -1.6782254,29.2165505 -1.6782055,29.2165949 -1.6780502)))"	multipolygons	-1.6781693	29.21671785		"258938423"	hospital	Centre hospitalier Cmak			hospital	hospital	urn:dsnis_hc_pnt_id:6111010030	Katindo								MSF		2018-12			2019/02/04			"""building""=>""yes"",""is_in:health_admin=6""=>""GOMA"",""is_in:health_admin=8""=>""KATINDO"",""is_in:health_zone""=>""Goma"""
"MULTIPOLYGON (((25.1708309 0.5134698,25.1709082 0.5139837,25.1713829 0.5140122,25.1714449 0.5139145,25.1713459 0.513384,25.1708309 0.5134698)))"	multipolygons	0.51369215	25.171133875684		"262073556"	hospital	Hopital Général de Kisangani														Bing								
"MULTIPOLYGON (((28.9133551 -8.4373747,28.9133675 -8.4372897,28.913441 -8.4373001,28.9134291 -8.4373817,28.9134493 -8.4373845,28.9134069 -8.4376769,28.9134349 -8.4376808,28.9134223 -8.4377671,28.9133947 -8.4377632,28.91335 -8.4380712,28.9132559 -8.4380579,28.9133002 -8.4377529,28.9133128 -8.4376659,28.9133551 -8.4373747)))"	multipolygons	-8.43767885	28.9133659122414		"263597168"	hospital	Hopital Chamfubu batiment																						
"MULTIPOLYGON (((28.9138008 -8.4372856,28.9139422 -8.4373071,28.913899 -8.4375868,28.9138945 -8.4376126,28.9137534 -8.4375908,28.9138008 -8.4372856)))"	multipolygons	-8.43744695	28.9138481705275		"263597485"	hospital	Hopital Chamfubu																						
"MULTIPOLYGON (((27.1611507 0.9855288,27.1614834 0.9855504,27.1614765 0.9856623,27.1615043 0.9856623,27.1614667 0.9861089,27.1611185 0.9860949,27.1611305 0.9858923,27.1611422 0.9857489,27.1611507 0.9855288)))"	multipolygons	0.9858206	27.1613136612293		"306325553"	hospital																							
"MULTIPOLYGON (((27.116759 -1.6288658,27.1148063 -1.6276432,27.1138944 -1.6287049,27.115214 -1.6306567,27.116759 -1.6288658)))"	multipolygons	-1.62976125	27.1152975458756		"308384054"	hospital																							
"MULTIPOLYGON (((15.1796534 -4.8268799,15.1798413 -4.8268369,15.1799399 -4.8271592,15.1795947 -4.8272642,15.1795418 -4.8268851,15.1796534 -4.8268799)))"	multipolygons	-4.82702215	15.1797294484584		"316667385"	hospital																							
"MULTIPOLYGON (((20.8989727 4.2244086,20.8990242 4.2244509,20.8991171 4.2243359,20.8990644 4.2242941,20.8989727 4.2244086)))"	multipolygons	4.22437225	20.8990447736342		"321295515"	hospital	Molegbe Health Center																						"""building""=>""yes"""
"MULTIPOLYGON (((21.1233119 4.2714063,21.1233246 4.271499,21.1235114 4.2714735,21.1234987 4.2713808,21.1233119 4.2714063)))"	multipolygons	4.2714399	21.12341165		"321999619"	hospital																							
"MULTIPOLYGON (((29.1242681 -1.6201709,29.123866 -1.61975,29.1224139 -1.6213214,29.1245304 -1.6241456,29.1254616 -1.6234084,29.1264491 -1.6240044,29.1272808 -1.6238952,29.1288015 -1.6220431,29.1279699 -1.6216766,29.127258 -1.6224316,29.1266739 -1.621734,29.1258166 -1.6213851,29.1242681 -1.6201709)))"	multipolygons	-1.62188855	29.1248211178795		"322700419"	social_facility	Camp de Bulengo																						"""landuse""=>""residential"",""social_facility""=>""shelter"",""social_facility:for""=>""migrant"""
"MULTIPOLYGON (((30.2285169 1.5703506,30.2294248 1.5702411,30.2292469 1.5692241,30.228996 1.5689095,30.2287131 1.5689551,30.2285352 1.5676097,30.2272465 1.5677508,30.2273125 1.5681159,30.2274174 1.5681068,30.2275132 1.5686358,30.2281565 1.5685309,30.228204 1.5689543,30.2282112 1.569589,30.2284074 1.5699903,30.2285169 1.5703506)))"	multipolygons	1.5690896	30.2286725841532		"334006977"	hospital	MSF - Bon Marché																						"""operator""=>""Médecines Sans Frontières"""
"MULTIPOLYGON (((15.3308488 -4.3549316,15.3308886 -4.3549313,15.330889 -4.3549808,15.3308493 -4.3549812,15.3308488 -4.3549316)))"	multipolygons	-4.3549562	15.330868924598		"334693013"	hospital	Centre Médical et Maternité											"12"											"""addr:city""=>""Kinshasa"",""addr:street""=>""Fikis"",""building""=>""yes"",""is_in:admin_level7""=>""Limete"",""is_in:admin_level8""=>""Ndanu"""
"MULTIPOLYGON (((18.8020464 -5.0237129,18.8021491 -5.023731,18.8021236 -5.0240144,18.8020129 -5.0239964,18.8020464 -5.0237129)))"	multipolygons	-5.0238637	18.8020828702046		"334766106"	clinic	Dispensaire et Maternité de CEBCO				clinic																		"""building""=>""yes"""
"MULTIPOLYGON (((15.3312832 -4.3551857,15.3314285 -4.3551831,15.33143 -4.3552681,15.3313681 -4.3552692,15.3313699 -4.3553713,15.3312865 -4.3553728,15.3312832 -4.3551857)))"	multipolygons	-4.35532025	15.3313272865714		"335709426"	hospital	Centre Médical la Main de Dieu											"12"											"""addr:city""=>""Kinshasa"",""addr:street""=>""Bosembo"",""building""=>""yes"",""is_in:admin_level7""=>""Limete"",""is_in:admin_level8""=>""Ndanu"""
"MULTIPOLYGON (((18.8149169 -5.0400263,18.816821 -5.0386795,18.8181022 -5.0405375,18.8160884 -5.0417573,18.8154372 -5.0408019,18.8150337 -5.0402272,18.8149169 -5.0400263)))"	multipolygons	-5.04012675	18.8163971318891		"343895226"	hospital	Hôpital général de référence de Kikwit																						"""emergency""=>""yes"",""website""=>""http://www.azv.be/fr/hospital/h%C3%B4pital-g%C3%A9n%C3%A9ral-de-r%C3%A9f%C3%A9rence-kikwit"""
"MULTIPOLYGON (((28.8586749 -2.5027627,28.8588918 -2.502929,28.8589595 -2.5028409,28.8589327 -2.5028204,28.8587572 -2.5026857,28.8587426 -2.5026746,28.8586749 -2.5027627)))"	multipolygons	-2.50279155	28.858803819821		"361498717"	pharmacy	Depot Pharmaceutique																						"""building""=>""commercial"""
"MULTIPOLYGON (((15.2603806 -4.3831066,15.2606301 -4.3836254,15.2619926 -4.382914,15.2617915 -4.3824514,15.2617217 -4.3824327,15.2614471 -4.3825707,15.2603806 -4.3831066)))"	multipolygons	-4.3830103	15.2611902051126		"362880802"	hospital																							
